time,headx,heady,neckx,necky,rshoulderx,rshouldery,relbowx,relbowy,rwristx,rwristy,lshoulderx,lshouldery,lelbowx,lelbowy,lwristx,lwristy,rhipx,rhipy,rkneex,rkneey,lhipx,lhipy,lkneex,lkneey,chestx,chesty
1.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
0.6,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,0.0,0.0,-16.0,0.0,0.0,-16.0,-16.0,0.0,-16.0,16.0,0.0,32.0,-16.0,0.0,-16.0,16.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,16.0,0.0
1.0,16.0,0.0,0.0,-16.0,0.0,-16.0,-16.0,-32.0,0.0,-16.0,16.0,0.0,32.0,-16.0,0.0,0.0,16.0,0.0,-16.0,-16.0,0.0,0.0,0.0,0.0,16.0,0.0
1.0,0.0,0.0,-16.0,0.0,0.0,-16.0,-32.0,-32.0,-16.0,-32.0,0.0,0.0,16.0,-32.0,0.0,16.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,16.0,0.0,0.0,0.0,0.0,0.0,-16.0,-16.0,0.0,0.0,16.0,0.0,16.0,0.0,0.0,-16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
0.8,0.0,0.0,-16.0,0.0,0.0,-16.0,-32.0,-32.0,-16.0,-32.0,0.0,0.0,16.0,-32.0,16.0,16.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,16.0,0.0,0.0,0.0,0.0,-16.0,-16.0,-32.0,0.0,-16.0,16.0,0.0,16.0,-16.0,0.0,0.0,0.0,0.0,-16.0,-16.0,0.0,0.0,0.0,0.0,16.0,0.0
0.8,-48.0,0.0,-48.0,0.0,-48.0,0.0,-48.0,-16.0,-80.0,-16.0,-64.0,-16.0,-48.0,-48.0,0.0,32.0,-48.0,0.0,-32.0,0.0,-48.0,0.0,-16.0,0.0,-48.0,0.0
1.0,-80.0,0.0,-64.0,0.0,-64.0,16.0,-64.0,-16.0,-112.0,32.0,-64.0,-16.0,-32.0,-80.0,0.0,-32.0,-48.0,0.0,-32.0,0.0,-48.0,0.0,-16.0,0.0,-64.0,0.0
0.8,-80.0,0.0,-64.0,0.0,-64.0,16.0,-64.0,-16.0,-112.0,32.0,-64.0,-16.0,-32.0,-80.0,16.0,-16.0,-48.0,0.0,-48.0,0.0,-48.0,0.0,-16.0,0.0,-64.0,0.0
0.8,-80.0,0.0,-64.0,0.0,-64.0,16.0,-48.0,0.0,-112.0,32.0,-64.0,-16.0,-32.0,-80.0,0.0,-32.0,-48.0,0.0,-32.0,0.0,-48.0,0.0,-16.0,0.0,-64.0,0.0
0.8,-64.0,0.0,-48.0,16.0,-48.0,0.0,-48.0,0.0,-112.0,64.0,-48.0,-16.0,-32.0,-48.0,-16.0,-32.0,-48.0,0.0,-32.0,16.0,-32.0,0.0,-16.0,0.0,-48.0,0.0
0.6,-80.0,0.0,-64.0,16.0,-64.0,32.0,-48.0,16.0,-112.0,48.0,-64.0,-16.0,-48.0,-64.0,0.0,-48.0,-48.0,0.0,-16.0,16.0,-48.0,0.0,-16.0,0.0,-64.0,0.0
1.0,0.0,0.0,0.0,0.0,-16.0,16.0,0.0,-32.0,-32.0,0.0,0.0,0.0,16.0,0.0,16.0,-48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,16.0,0.0,16.0,0.0,0.0,0.0,16.0,-16.0,-16.0,16.0,16.0,0.0,16.0,-16.0,0.0,-64.0,16.0,0.0,16.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0
1.0,48.0,0.0,32.0,0.0,32.0,0.0,0.0,-64.0,48.0,-48.0,48.0,16.0,48.0,0.0,16.0,-16.0,32.0,0.0,16.0,0.0,48.0,0.0,16.0,0.0,32.0,0.0
0.6,48.0,0.0,32.0,0.0,32.0,0.0,16.0,-32.0,32.0,0.0,48.0,16.0,64.0,0.0,0.0,-48.0,32.0,0.0,16.0,0.0,48.0,0.0,16.0,0.0,32.0,0.0
