time,headx,heady,neckx,necky,rshoulderx,rshouldery,relbowx,relbowy,rwristx,rwristy,lshoulderx,lshouldery,lelbowx,lelbowy,lwristx,lwristy,rhipx,rhipy,rkneex,rkneey,lhipx,lhipy,lkneex,lkneey,chestx,chesty
0.1,288,96,288,176,256,192,224,256,208,208,336,192,368,256,368,192,272,320,256,432,320,320,320,432,288,256
0.2,288,96,288,176,256,192,224,256,208,208,336,192,368,256,368,208,256,320,256,432,320,320,320,432,288,256
0.3,288,96,304,176,256,192,224,256,208,208,336,192,368,256,384,208,256,320,256,432,320,320,320,432,288,256
0.4,288,96,304,176,256,192,224,256,208,208,336,192,368,256,384,208,256,320,256,432,320,320,320,432,288,256
0.5,288,96,304,176,256,192,224,256,208,208,336,192,368,256,384,208,256,320,256,432,320,320,320,432,288,256
0.6,288,96,304,176,256,192,224,256,208,208,336,192,368,256,384,208,256,320,256,432,320,320,320,432,288,256
0.7,288,96,304,176,256,192,224,256,208,208,336,192,368,256,384,208,256,320,256,432,320,320,320,432,288,256
0.8,288,96,304,176,256,192,224,256,208,208,336,192,368,256,368,208,256,320,256,432,320,320,320,432,288,256
0.9,288,96,304,160,256,192,224,256,208,208,336,192,384,256,384,208,272,320,256,432,320,320,320,432,288,256
1,288,96,304,176,256,192,224,256,208,208,352,192,384,256,384,192,272,320,256,432,320,320,320,432,304,256
1.1,304,96,304,176,256,192,224,256,208,208,352,192,384,256,384,192,272,320,256,432,320,320,320,432,304,256
1.2,304,96,304,176,256,192,224,256,208,208,352,192,384,256,384,192,272,320,256,432,320,320,320,432,304,256
1.3,304,96,304,176,256,192,208,240,208,208,352,192,384,256,384,192,272,320,256,432,320,320,320,432,304,256
1.4,304,96,304,160,256,192,208,240,208,192,352,192,400,240,384,192,272,320,256,416,320,320,320,432,304,256
1.5,304,96,304,160,256,176,208,224,208,192,352,192,400,240,384,208,272,320,240,416,320,320,320,432,304,256
1.6,288,96,288,176,256,176,192,224,192,176,336,192,384,224,384,224,256,320,240,432,320,320,320,432,288,256
1.7,272,96,272,176,240,192,176,224,176,176,320,192,384,224,384,240,240,320,224,432,304,320,320,432,272,256
1.8,240,96,256,176,208,192,176,240,128,192,288,176,336,208,384,224,224,320,224,432,272,320,304,432,256,256
